mscb323_Temp_P1_0,-0.59
mscb323_Temp_P1_1,-1.07
mscb323_Temp_P1_2,-0.99
mscb13e_Temp_P1_0,-2.25
mscb13e_Temp_P1_1,-1.47
mscb13e_Temp_P1_2,-1.87
mscb323_Temp_P1_4,-1.14
mscb323_Temp_P1_5,-1.18
mscb323_Temp_P1_6,-2.46
mscb13e_Temp_P1_4,-0.24
mscb13e_Temp_P1_5,-1.78
mscb13e_Temp_P1_6,-0.14
mscb323_Temp_P2_0,-0.05
mscb323_Temp_P2_1,-1.11
mscb323_Temp_P2_2,-2.44
mscb13e_Temp_P2_0,-1.93
mscb13e_Temp_P2_1,-2.61
mscb13e_Temp_P4_6,-1.01
mscb323_Temp_P2_4,-1.73
mscb323_Temp_P2_5,-0.45
mscb323_Temp_P2_6,-0.64
mscb13e_Temp_P2_4,-1
mscb13e_Temp_P2_5,-1.98
mscb13e_Temp_P2_6,-0.39
mscb323_Temp_P3_0,-0.89
mscb323_Temp_P3_1,-1.64
mscb323_Temp_P3_2,-2.03
mscb13e_Temp_P3_7,-0.97
mscb13e_Temp_P3_1,-2.02
mscb13e_Temp_P3_2,-1.21
mscb323_Temp_P3_4,-1.31
mscb323_Temp_P3_5,-1.13
mscb323_Temp_P3_6,-1.06
mscb13e_Temp_P4_1,-1.37
mscb13e_Temp_P4_2,-2.55
mscb13e_Temp_P3_5,-1.92
mscb174_Temp_P5_3,-2.39
mscb174_Temp_P5_2,-2.21
mscb174_Temp_P5_1,-2.59
mscb174_Temp_P5_0,-2.06
mscb174_Temp_P1_4,-2.54
mscb174_Temp_P1_5,-3.2
mscb174_Temp_P1_7,-2.84
mscb174_Temp_P1_6,-0.78
mscb174_Temp_P5_5,-3.1
mscb174_Temp_P5_4,-3.06
mscb174_Temp_P5_6,-3.29
mscb174_Temp_P5_7,-3.16
mscb323_Temp_P1_3,-2.68
mscb13e_Temp_P1_3,-1.58
mscb323_Temp_P1_7,-2.87
mscb13e_Temp_P1_7,-2.46
mscb323_Temp_P2_3,-2.66
mscb13e_Temp_P2_3,-2.71
mscb323_Temp_P2_7,-0.67
mscb13e_Temp_P2_7,-0.12
mscb323_Temp_P3_3,-2.9
mscb13e_Temp_P3_3,-1.6
mscb323_Temp_P3_7,-3.1
mscb13e_Temp_P4_4,-0.99